ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-00091,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.186190354701136,100.60115706554626",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869814
EXT-00092,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.188185468284633,100.60118474757823",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869821
EXT-00093,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.183111676764122,100.60394428660862",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869826
EXT-00094,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.188263959005972,100.60274658093482",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869830
EXT-00095,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.190257167234444,100.61471178502083",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869834
EXT-00096,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.191446006228174,100.61266199085814",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869838
EXT-00097,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.194313124051341,100.61640815101535",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869842
EXT-00098,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.194153602306812,100.61325704797453",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869846
EXT-00099,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.1887042041803,100.61787645844201",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869850
EXT-00100,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.188415685022127,100.61369693816219",,,,กรุงเทพมหานคร,2025-11-23T10:05:13.626Z,,0,0,2025-11-23T22:42:46.869854
